Nome;Valor;CPF;Vencimento
Alexandre Martins;900,89;911.809.165-29;25/01/2027
Otávio Borges;976,08;800.186.688-23;21/12/2025
Maria Flor Ramos;525,00;785.490.636-03;13/10/2027
Carlos Eduardo Novaes;365,96;128.993.954-39;19/08/2024
Dra. Maria Cecília da Cunha;752,06;704.377.618-09;18/04/2024
Gabriel Machado;897,18;845.472.483-45;27/01/2025
Matheus Borges;822,09;939.726.329-39;28/05/2027
Rafaela Câmara;656,91;494.884.690-20;15/03/2024
Ester Costa;55,47;433.333.863-80;10/10/2025
Bernardo Vargas;98,98;702.960.174-25;31/03/2025
Olivia Santos;681,57;139.350.825-14;31/07/2027
Sofia Rocha;426,97;342.619.571-27;04/04/2023
Juliana Leão;757,63;335.666.192-20;18/03/2023
Eduarda Rezende;236,05;808.387.229-69;23/06/2023
Dr. Pedro Miguel Sampaio;486,22;920.432.967-08;19/07/2023
Dra. Stephany Albuquerque;215,26;902.912.510-18;05/06/2024
Ana Vitória Novaes;404,59;094.105.854-91;19/04/2026
Luan Ramos;792,55;930.201.114-32;13/10/2024
Marcela das Neves;911,19;602.162.434-39;08/02/2025
Gabriela Siqueira;798,80;191.002.578-00;16/10/2023
Maya Rezende;229,29;394.501.348-81;30/12/2023
Henry Gabriel Caldeira;682,27;320.753.107-50;29/05/2024
Sr. Nicolas Moraes;99,18;570.468.763-68;31/12/2023
João Camargo;727,29;071.110.583-92;16/08/2025
Maria Helena Guerra;117,34;067.766.993-31;22/10/2026
Léo Carvalho;872,56;857.779.465-25;25/06/2022
Maria Laura Souza;604,83;368.965.276-63;09/10/2024
Luna Vargas;521,22;645.393.253-95;31/05/2022
Sr. Carlos Eduardo Almeida;990,39;457.986.258-98;02/05/2023
Alice Carvalho;141,23;034.303.466-29;04/08/2024
Dr. Bryan Costa;780,68;463.396.982-05;31/05/2023
Igor Oliveira;918,13;493.850.531-27;19/04/2027
Bianca Freitas;648,74;886.808.673-54;12/06/2024
Srta. Gabrielly Teixeira;928,12;195.566.142-17;19/06/2023
Alexandre da Mota;569,94;961.966.601-11;02/08/2025
Juliana Pimenta;845,59;583.395.254-99;21/01/2023
Rodrigo Pereira;885,85;242.705.343-08;21/01/2026
Ísis Azevedo;226,63;286.010.451-82;15/08/2022
Alícia Vasconcelos;353,92;200.757.207-96;11/06/2023
Ana Vitória Jesus;32,15;629.042.929-98;18/11/2025
Isaque Borges;398,26;012.549.608-79;03/10/2023
Kamilly Garcia;621,34;569.324.422-92;12/01/2026
Srta. Pietra Gomes;981,59;285.509.338-43;16/01/2026
Sr. João Gabriel da Conceição;14,39;767.815.019-99;12/09/2027
Maitê Ramos;87,69;607.068.062-68;10/09/2024
Guilherme Rezende;659,45;034.091.702-48;24/01/2022
Benicio Cardoso;383,73;576.987.369-82;19/09/2023
Isabel da Conceição;620,94;039.137.896-13;19/04/2026
José Pedro Nascimento;877,78;681.915.464-00;18/09/2027
Maria Liz Guerra;826,76;032.541.627-30;21/07/2024
Benjamim Fernandes;448,32;501.976.283-08;13/05/2026
Maria Cecília Cavalcante;322,32;746.963.736-29;23/06/2026
Vitória da Cunha;770,63;199.356.230-38;23/12/2025
Aurora Teixeira;815,20;399.995.171-09;01/09/2026
Liam Porto;856,15;238.576.185-89;26/03/2027
Helena Carvalho;350,85;631.524.762-80;15/06/2027
Isabelly Porto;184,05;917.166.876-40;18/05/2023
Luiz Henrique Pimenta;616,47;568.367.851-04;27/03/2024
Augusto Rodrigues;778,14;090.142.635-08;22/05/2022
Lorenzo Gomes;870,46;943.477.257-59;08/12/2027
Maria Júlia Marques;904,29;991.222.863-42;28/05/2023
Benício Silveira;692,63;690.439.116-28;22/09/2027
Erick Vargas;316,02;237.356.832-28;16/03/2025
Samuel Cirino;193,20;293.261.545-92;08/01/2024
Ryan Barros;114,41;145.285.250-21;29/04/2026
Srta. Anna Liz Viana;289,20;970.055.121-08;30/09/2022
Augusto Costa;226,45;599.281.366-71;22/04/2025
Mateus Pires;352,80;956.317.562-00;25/11/2025
Beatriz Cirino;920,31;297.161.324-02;10/06/2025
João Guilherme Pacheco;386,24;829.426.643-44;16/08/2023
Ravi Lucca Pastor;951,10;939.003.954-10;19/06/2025
Mariane Barbosa;427,84;329.122.986-08;21/05/2023
Milena Ferreira;25,93;157.731.342-99;11/01/2022
Dom Fernandes;762,45;536.831.452-37;16/02/2024
Leonardo da Conceição;767,23;384.571.505-71;27/04/2025
Bento Azevedo;560,65;873.727.975-00;19/11/2024
Sr. Pedro Alves;183,63;139.026.568-40;08/09/2023
Enzo Gabriel Teixeira;545,88;123.857.938-80;30/12/2027
Sr. Lorenzo Cavalcante;182,31;784.277.593-19;14/10/2023
Antonella Rocha;670,65;168.829.884-32;03/11/2027
Nina Alves;423,23;010.155.008-10;21/08/2025
Srta. Ana Vitória da Luz;757,06;022.463.833-53;27/11/2025
Eloah Jesus;610,51;595.160.073-14;11/04/2022
Maria Cecília Jesus;324,60;060.349.261-42;17/02/2025
Levi Cirino;994,32;898.033.109-63;16/02/2023
João Vitor Câmara;617,72;109.735.917-42;30/10/2023
Heloísa Ferreira;794,99;627.759.959-37;02/09/2023
Renan das Neves;48,41;356.961.021-77;11/08/2027
Laura Guerra;526,40;924.033.611-73;07/06/2022
Apollo Pimenta;193,80;211.036.126-33;26/11/2025
Renan Cardoso;964,17;519.079.144-07;08/10/2027
Brenda Almeida;399,94;073.322.944-12;13/03/2024
Dr. Davi da Mota;78,00;576.932.063-07;08/09/2024
Dr. Enzo Gabriel Pacheco;527,84;153.449.986-50;04/06/2023
Giovanna Sampaio;941,67;782.087.116-40;07/05/2026
Daniela Sá;131,33;949.378.412-69;24/08/2027
Rael Sousa;788,73;721.388.895-18;19/06/2025
Sophia Moraes;186,05;234.033.039-49;07/08/2026
Rael das Neves;665,66;934.367.941-68;23/06/2025
Dra. Ana Luiza Lima;649,28;746.603.163-36;27/10/2024
Dra. Maysa da Costa;288,75;894.844.553-72;03/09/2027
Maria Fernanda Oliveira;590,30;401.812.191-16;22/05/2024
